timestep,buyer,seller,price,quantity
3,Random_B,Imbalance,2447.700000,1
4,Random_A,Random_B,2447.750000,1
9,Random_B,Random_A,2455.570000,1
10,Momentum,Random_A,2457.060000,1
11,Momentum,Random_A,2458.670000,1
12,Random_A,Random_A,2464.210000,1
14,Momentum,Random_A,2461.020000,1
15,Momentum,Random_B,2464.210000,1
16,Momentum,Random_B,2465.080000,1
16,Random_A,RSI,2465.120000,1
16,Random_B,Random_B,2465.170000,1
17,Momentum,RSI,2468.020000,1
19,Momentum,RSI,2470.450000,1
20,Momentum,RSI,2470.460000,1
20,Random_A,Random_A,2470.510000,1
20,Random_B,RSI,2471.030000,1
21,Momentum,Random_B,2471.080000,1
23,Momentum,Random_B,2466.550000,1
24,Momentum,Random_A,2461.450000,1
25,Momentum,Momentum,2461.960000,1
26,Random_A,Momentum,2459.910000,1
29,Momentum,Momentum,2461.190000,1
30,Momentum,Momentum,2456.020000,1
32,Random_A,Momentum,2457.200000,1
33,Momentum,Momentum,2458.270000,1
34,Random_B,Momentum,2458.220000,1
42,Random_A,Random_A,2451.740000,1
44,Random_B,Random_B,2451.590000,1
46,Random_B,Random_A,2451.860000,1
46,RSI,Random_B,2451.860000,1
48,Random_B,Random_B,2454.200000,1
53,Momentum,Random_A,2454.700000,1
55,Momentum,Random_A,2457.040000,1
61,Random_B,Random_A,2453.700000,1
64,Momentum,Random_B,2448.090000,1
66,Momentum,Momentum,2437.400000,1
66,Random_B,Random_A,2437.450000,1
70,Momentum,Random_B,2434.780000,1
73,Random_B,Random_B,2438.770000,1
75,Random_A,Random_B,2441.060000,1
77,Random_B,Random_A,2431.620000,1
79,Random_A,Momentum,2432.230000,1
79,Random_B,Random_A,2432.280000,1
80,Random_B,Momentum,2431.810000,1
81,Momentum,Momentum,2432.260000,1
82,Random_B,Momentum,2433.020000,1
83,Random_A,Momentum,2436.870000,1
84,Random_A,Momentum,2440.880000,1
85,Random_A,Random_B,2440.840000,1
86,Random_A,Random_A,2440.360000,1
89,Random_A,Bollinger,2447.850000,1
91,Momentum,Random_B,2448.800000,1
94,Random_A,Random_A,2443.080000,1
94,Random_A,Random_B,2443.080000,1
95,Random_A,Random_B,2446.630000,1
96,Random_A,Momentum,2441.950000,1
97,RSI,Momentum,2443.150000,1
98,Random_A,Momentum,2441.370000,1
99,Random_A,Momentum,2441.000000,1
99,Random_B,Random_A,2441.050000,1
100,Momentum,Momentum,2437.670000,1
100,Momentum,Random_A,2437.720000,1
101,Random_A,Momentum,2440.120000,1
102,RSI,Momentum,2437.550000,1
103,Random_A,Momentum,2435.840000,1
104,Momentum,Random_A,2436.260000,1
105,Random_A,Momentum,2436.990000,1
106,Momentum,Momentum,2437.550000,1
107,RSI,Momentum,2437.360000,1
113,Bollinger,Random_B,2444.120000,1
115,Random_A,Random_B,2444.490000,1
116,Random_A,RSI,2444.280000,1
117,Momentum,Random_B,2444.920000,1
118,Random_A,RSI,2443.760000,1
118,Random_B,Random_A,2443.810000,1
121,Momentum,RSI,2444.750000,1
122,Momentum,Random_A,2443.100000,1
127,Momentum,Random_B,2443.680000,1
130,Random_A,RSI,2444.790000,1
131,Random_B,Random_B,2444.800000,1
133,Random_A,RSI,2447.110000,1
135,Random_B,Bollinger,2448.190000,1
136,Random_A,RSI,2448.350000,1
138,Momentum,Random_B,2448.400000,1
140,Random_A,Bollinger,2450.050000,1
140,Random_B,Random_B,2451.340000,1
142,Random_A,Momentum,2445.700000,1
143,Random_A,Momentum,2445.250000,1
145,Random_B,Momentum,2444.750000,1
147,Random_A,Momentum,2444.760000,1
149,Random_A,Momentum,2444.680000,1
150,RSI,Random_B,2444.730000,1
150,Random_A,Momentum,2445.820000,1
151,Momentum,Random_A,2445.870000,1
152,Momentum,Momentum,2446.310000,1
152,Random_B,Random_B,2446.360000,1
153,Momentum,Momentum,2446.510000,1
153,Random_B,Random_B,2446.560000,1
155,Momentum,Random_A,2447.080000,1
155,Random_A,Random_B,2447.080000,1
156,Momentum,Momentum,2447.090000,1
157,Momentum,Random_A,2447.140000,1
157,Random_A,Momentum,2450.050000,1
158,Momentum,Random_A,2450.560000,1
159,Momentum,Bollinger,2452.500000,1
160,Momentum,Random_A,2452.610000,1
167,Random_A,Random_B,2449.500000,1
170,Random_B,Random_B,2451.670000,1
172,Random_B,RSI,2452.840000,1
175,Random_A,Random_A,2452.890000,1
175,Random_B,RSI,2453.250000,1
182,Random_A,RSI,2453.310000,1
183,Random_A,Random_A,2453.360000,1
184,Random_B,Momentum,2452.150000,1
186,Bollinger,Momentum,2448.000000,1
188,Bollinger,Momentum,2446.710000,1
188,Bollinger,Random_B,2446.760000,1
193,Momentum,Momentum,2448.040000,1
194,Momentum,Random_B,2448.050000,1
194,Random_B,Random_A,2448.090000,1
195,Momentum,Momentum,2448.180000,1
196,Momentum,Random_B,2448.230000,1
198,Momentum,Momentum,2446.460000,1
198,Random_A,Random_B,2446.510000,1
199,Bollinger,Momentum,2444.140000,1
200,Random_A,Momentum,2440.800000,1
200,Random_A,Random_B,2440.850000,1
201,Random_A,Momentum,2442.940000,1
202,Random_B,Momentum,2443.170000,1
202,Random_A,Random_B,2443.220000,1
203,Random_B,Momentum,2441.700000,1
204,Momentum,Momentum,2440.170000,1
204,Random_A,Random_A,2440.220000,1
205,Random_B,Momentum,2441.510000,1
206,Momentum,Momentum,2440.800000,1
207,Random_B,Momentum,2442.350000,1
207,Momentum,Random_A,2442.400000,1
208,Random_A,Momentum,2443.150000,1
209,Random_B,Random_A,2443.340000,1
209,Random_A,Random_B,2443.340000,1
210,Random_B,Random_B,2443.210000,1
213,Momentum,Random_A,2443.530000,1
213,Random_A,Random_B,2443.530000,1
216,Random_A,Momentum,2441.570000,1
217,Momentum,Momentum,2439.910000,1
219,Momentum,Random_A,2441.960000,1
222,Random_A,Random_A,2443.490000,1
227,Momentum,Random_B,2442.190000,1
228,Random_B,Random_B,2443.490000,1
236,Random_B,Random_A,2441.840000,1
238,Random_A,Random_A,2444.200000,1
240,Random_B,Random_B,2444.600000,1
243,Random_A,Random_A,2443.530000,1
245,Random_B,Momentum,2442.720000,1
246,Random_A,Momentum,2441.800000,1
247,Random_A,Random_A,2444.770000,1
249,Random_B,Momentum,2442.200000,1
252,Momentum,Random_A,2445.350000,1
252,Random_B,Random_B,2445.350000,1
253,Momentum,Momentum,2445.490000,1
254,Momentum,Random_A,2445.560000,1
254,Random_A,Momentum,2447.120000,1
255,Momentum,Bollinger,2447.450000,1
256,Momentum,Random_A,2448.470000,1
257,Momentum,Momentum,2448.580000,1
257,Random_B,Random_A,2448.630000,1
258,Momentum,Random_B,2449.650000,1
260,Random_A,Momentum,2449.720000,1
260,Random_B,Random_B,2449.770000,1
261,Random_B,Momentum,2450.020000,1
262,Random_A,Random_B,2450.070000,1
266,Random_B,Random_A,2447.300000,1
267,Random_B,Momentum,2448.130000,1
270,Random_A,Momentum,2446.910000,1
272,Random_A,Random_A,2446.960000,1
275,Random_B,Random_B,2446.960000,1
282,Random_B,Random_B,2447.400000,1
283,Random_A,Random_B,2447.730000,1
286,Random_A,Random_A,2449.210000,1
287,Random_A,Random_B,2450.710000,1
288,Random_A,Momentum,2450.800000,1
297,Random_A,Momentum,2451.070000,1
300,Random_B,Momentum,2448.280000,1
301,RSI,Random_B,2448.330000,1
302,Bollinger,Momentum,2444.350000,1
302,Random_A,Random_A,2444.400000,1
303,Bollinger,Momentum,2439.440000,1
303,RSI,Random_A,2439.490000,1
304,Momentum,Momentum,2441.320000,1
305,Random_A,Momentum,2440.800000,1
305,Bollinger,Random_A,2440.850000,1
306,RSI,Momentum,2443.290000,1
306,Random_B,Random_B,2443.340000,1
309,Random_A,Random_A,2437.470000,1
310,Random_B,Random_A,2437.400000,1
311,Momentum,Momentum,2439.060000,1
312,Random_B,Momentum,2438.660000,1
312,Momentum,Random_A,2438.710000,1
312,RSI,Random_B,2438.710000,1
313,Random_A,Momentum,2440.620000,1
313,Momentum,Random_B,2440.670000,1
314,Momentum,Momentum,2440.680000,1
315,Random_A,Random_B,2441.130000,1
318,Random_B,Random_A,2441.710000,1
321,Momentum,Random_B,2436.110000,1
325,Random_A,Momentum,2444.050000,1
327,Momentum,Momentum,2444.710000,1
329,Momentum,Random_A,2445.460000,1
332,Random_B,Random_A,2445.920000,1
333,Momentum,Random_A,2443.510000,1
333,Momentum,Random_B,2443.510000,1
335,Random_A,Momentum,2444.210000,1
335,Momentum,RSI,2444.210000,1
336,Random_B,Momentum,2441.840000,1
337,Momentum,Momentum,2439.230000,1
338,Random_B,Momentum,2438.880000,1
338,Random_A,Random_B,2438.930000,1
339,Random_B,Momentum,2437.630000,1
340,Momentum,Momentum,2435.460000,1
341,Momentum,Momentum,2437.510000,1
342,Momentum,Momentum,2436.610000,1
343,Random_B,Momentum,2436.440000,1
343,Random_B,Random_A,2436.490000,1
344,Random_A,Momentum,2433.560000,1
345,Random_B,Momentum,2427.160000,1
346,Random_A,Momentum,2429.370000,1
346,Random_B,Random_B,2429.420000,1
347,Random_B,Momentum,2430.590000,1
348,Random_B,Momentum,2430.140000,1
349,Momentum,Momentum,2429.070000,1
350,Momentum,Momentum,2427.220000,1
351,Random_A,Momentum,2429.500000,1
352,Random_B,Momentum,2428.080000,1
352,Random_A,Random_B,2428.130000,1
353,Random_B,Momentum,2431.030000,1
356,Random_A,Random_B,2431.610000,1
359,Momentum,Random_B,2430.210000,1
364,Random_A,Random_B,2432.320000,1
367,Random_A,Bollinger,2434.970000,1
368,Random_B,Bollinger,2435.530000,1
369,Momentum,Bollinger,2436.320000,1
371,Random_A,Random_B,2435.940000,1
372,Random_B,RSI,2436.990000,1
374,Random_A,RSI,2437.110000,1
376,Momentum,RSI,2437.320000,1
378,Random_A,RSI,2436.910000,1
380,Random_B,Random_B,2435.060000,1
381,RSI,Momentum,2434.980000,1
382,Random_A,Momentum,2436.110000,1
383,RSI,Momentum,2437.580000,1
386,Bollinger,Bollinger,2438.730000,1
387,Momentum,Random_B,2436.170000,1
388,Random_A,Momentum,2436.110000,1
388,Random_A,Random_B,2436.160000,1
391,Random_B,Random_B,2434.810000,1
401,Random_B,Random_B,2417.440000,1
411,Random_A,Random_B,2419.560000,1
421,Bollinger,Random_B,2417.930000,1
429,RSI,Random_B,2411.780000,1
443,RSI,Random_B,2399.080000,1
447,Bollinger,Random_B,2401.190000,1
452,Momentum,Bollinger,2409.890000,1
453,Random_A,Momentum,2408.050000,1
454,Random_A,RSI,2409.090000,1
455,Random_B,RSI,2408.440000,1
456,Momentum,Bollinger,2417.850000,1
456,Momentum,RSI,2417.910000,1
457,Random_B,RSI,2414.950000,1
458,RSI,RSI,2414.340000,1
459,Bollinger,RSI,2415.560000,1
460,Random_B,RSI,2416.010000,1
461,Random_B,RSI,2425.460000,1
461,Random_B,Bollinger,2425.460000,1
462,Random_A,Bollinger,2432.430000,1
462,Random_B,Momentum,2432.490000,1
462,Bollinger,RSI,2432.490000,1
462,Random_B,Random_B,2432.540000,1
463,RSI,RSI,2431.440000,1
463,RSI,Bollinger,2431.440000,1
464,RSI,RSI,2431.440000,1
465,RSI,RSI,2430.950000,1
466,Bollinger,RSI,2429.120000,1
467,RSI,RSI,2426.800000,1
468,Bollinger,RSI,2425.360000,1
469,Random_B,Momentum,2423.700000,1
471,RSI,Random_B,2422.530000,1
476,Random_B,Random_B,2415.240000,1
488,Random_A,Random_B,2411.140000,1
491,Random_B,Random_B,2416.090000,1
493,Random_B,Random_B,2415.760000,1
498,Random_A,Random_B,2407.480000,1
