timestep,buyer,seller,price,quantity
3,Imbalance,Imbalance,2448.150000,1
4,Momentum,Imbalance,2448.330000,1
16,Momentum,RSI,2466.070000,1
19,Momentum,RSI,2468.970000,1
21,Momentum,Random_B,2470.070000,1
26,Random_B,Momentum,2462.910000,1
27,Momentum,Momentum,2460.860000,1
28,Momentum,Momentum,2463.630000,1
30,Momentum,Momentum,2463.240000,1
31,Momentum,Momentum,2458.150000,1
32,Random_B,Momentum,2459.220000,1
48,Momentum,Random_B,2457.180000,1
54,Random_B,Momentum,2438.350000,1
62,Momentum,Momentum,2432.760000,1
63,Random_B,Random_B,2436.760000,1
65,RSI,Momentum,2433.970000,1
67,Random_B,Momentum,2437.820000,1
68,Momentum,Momentum,2441.830000,1
69,Momentum,Random_B,2445.830000,1
75,Momentum,Bollinger,2437.979000,1
77,Momentum,Bollinger,2452.500000,1
81,Bollinger,Momentum,2442.900000,1
83,Bollinger,Momentum,2444.100000,1
84,Momentum,Momentum,2441.950000,1
85,Random_B,Momentum,2438.620000,1
86,Bollinger,Momentum,2441.070000,1
88,Random_B,Momentum,2438.500000,1
89,Random_B,Momentum,2436.790000,1
93,RSI,Momentum,2437.940000,1
94,Momentum,Momentum,2438.500000,1
96,RSI,Momentum,2438.310000,1
102,Momentum,RSI,2445.230000,1
105,Random_B,RSI,2444.710000,1
106,Random_B,RSI,2445.740000,1
107,Momentum,RSI,2445.700000,1
114,Momentum,Bollinger,2444.661500,1
118,Random_B,Bollinger,2444.956500,1
119,Random_B,RSI,2448.060000,1
122,Random_B,Bollinger,2447.334000,1
134,Momentum,Momentum,2445.630000,1
135,Momentum,Momentum,2445.700000,1
137,Momentum,Momentum,2445.710000,1
139,Momentum,Momentum,2446.650000,1
140,Momentum,Momentum,2446.770000,1
142,Momentum,Momentum,2447.460000,1
144,Momentum,Random_B,2448.390000,1
146,Momentum,RSI,2449.300000,1
155,Random_B,Momentum,2451.000000,1
158,Random_B,Random_B,2452.940000,1
163,Bollinger,RSI,2453.790000,1
165,Bollinger,Momentum,2448.950000,1
168,Bollinger,Momentum,2448.990000,1
170,Bollinger,Momentum,2447.660000,1
179,Random_B,Momentum,2448.070000,1
180,Momentum,Momentum,2447.410000,1
182,Random_B,Momentum,2445.090000,1
184,Bollinger,Momentum,2441.750000,1
186,Random_B,Momentum,2444.120000,1
190,Momentum,Momentum,2441.120000,1
192,Bollinger,Momentum,2442.460000,1
194,RSI,Momentum,2443.300000,1
195,Random_B,Momentum,2444.100000,1
216,Momentum,Momentum,2443.670000,1
220,Momentum,Random_B,2445.200000,1
223,Momentum,Bollinger,2444.341500,1
225,Momentum,Bollinger,2445.118500,1
228,Momentum,Bollinger,2445.628500,1
231,Momentum,Bollinger,2446.219000,1
236,Random_B,Random_B,2446.400000,1
244,Bollinger,Random_B,2446.740000,1
247,Bollinger,Random_B,2448.240000,1
252,RSI,Momentum,2445.300000,1
254,RSI,Momentum,2440.390000,1
255,Bollinger,Random_B,2448.760000,1
260,Bollinger,Momentum,2444.240000,1
268,Bollinger,Momentum,2440.010000,1
271,Random_B,Momentum,2439.610000,1
281,Random_B,Momentum,2445.000000,1
287,Momentum,Momentum,2445.660000,1
289,Momentum,Bollinger,2442.001500,1
297,Momentum,Momentum,2442.790000,1
298,Momentum,Momentum,2440.180000,1
300,Bollinger,Momentum,2439.830000,1
301,Random_B,Momentum,2438.580000,1
302,Random_B,Random_B,2442.580000,1
304,Momentum,Momentum,2437.560000,1
305,Momentum,Random_B,2441.560000,1
308,RSI,Momentum,2437.390000,1
311,Momentum,Momentum,2434.510000,1
314,Momentum,Momentum,2430.320000,1
317,RSI,Momentum,2431.540000,1
319,Momentum,Momentum,2431.090000,1
322,Random_B,Momentum,2430.020000,1
324,Random_B,Momentum,2428.170000,1
326,Random_B,Momentum,2429.030000,1
327,Momentum,Random_B,2433.030000,1
328,Momentum,Momentum,2431.980000,1
330,Momentum,Random_B,2435.110000,1
335,Momentum,Bollinger,2431.298500,1
336,Momentum,Random_B,2439.920000,1
